Flu Influenza Shot Sick Fever Infection Stomach Headache Antibiotics Paracetamol
28287 2130 282 14 9 13225 28203 9 2015 16
28319 2136 283 14 9 13225 28266 9 2020 16
28403 2141 283 14 9 13225 28336 9 2023 16
28430 2146 283 14 9 13225 28348 9 2026 16
28527 2148 284 14 9 13225 28387 9 2031 16
28552 2151 285 14 9 13225 28453 9 2038 16
28562 2154 285 14 9 13225 28490 9 2040 16
28611 2157 286 14 9 13225 28565 9 2044 16
28709 2161 286 14 9 13225 28644 9 2048 16
28795 2164 286 14 9 13225 28670 9 2055 16
28879 2166 287 14 9 13225 28748 9 2055 16
28962 2167 287 14 9 13225 28790 9 2057 16
29057 2170 288 14 9 13225 28813 9 2057 16
29059 2176 288 14 9 13225 28844 9 2060 16
29080 2180 289 14 9 13225 28852 9 2066 16
29178 2182 290 14 9 13225 28855 9 2069 16
29239 2189 291 14 9 13225 28935 9 2073 16
29305 2193 291 14 9 13225 28938 9 2075 16
29314 2198 292 14 9 13225 29020 9 2076 16
29348 2201 292 14 9 13225 29049 9 2078 16
29350 2201 293 14 9 13225 29145 9 2084 16
29374 2201 293 14 9 13225 29223 9 2089 16
29376 2208 293 14 9 13225 29321 9 2093 16
29398 2211 293 14 9 13225 29398 9 2097 16
29407 2218 293 14 9 13225 29483 9 2100 16
29480 2220 293 14 9 13225 29577 9 2101 16
29534 2220 294 14 9 13225 29650 9 2101 16
29550 2222 295 14 9 13225 29675 9 2102 16
29554 2223 296 14 9 13225 29707 9 2108 16
29640 2227 296 14 9 13225 29714 9 2114 16
29691 2230 297 14 9 13225 29803 9 2114 16
29699 2232 297 14 9 13225 29820 9 2120 16
29742 2232 298 14 9 13225 29866 9 2123 16
29800 2236 299 14 9 13225 29891 9 2124 16
29823 2240 299 14 9 13225 29960 9 2125 16
29848 2243 300 14 9 13225 30056 9 2126 16
29874 2243 301 14 9 13225 30137 9 2127 16
29896 2248 302 14 9 13225 30148 9 2132 16
29936 2254 302 14 9 13225 30227 9 2136 16
29969 2255 303 14 9 13225 30301 9 2137 16
29979 2260 304 14 9 13225 30392 9 2144 16
30064 2264 304 14 9 13225 30461 9 2145 16
30136 2267 304 14 9 13225 30490 9 2148 16
30177 2271 304 14 9 13225 30535 9 2151 16
30227 2274 305 14 9 13225 30618 9 2158 16
30289 2277 306 14 9 13225 30690 9 2165 16
30341 2281 306 14 9 13225 30741 9 2169 16
30438 2284 306 14 9 13225 30782 9 2175 16
30471 2290 307 14 9 13225 30809 9 2178 16
30503 2292 307 14 9 13225 30815 9 2182 16
30560 2298 308 14 9 13225 30912 9 2183 16
30614 2305 309 14 9 13225 30930 9 2183 16
30638 2307 309 14 9 13225 30937 9 2183 16
30658 2312 310 14 9 13225 31026 9 2186 16
30682 2319 310 14 9 13225 31122 9 2192 16
30775 2324 311 14 9 13225 31219 9 2194 16
30868 2325 311 14 9 13225 31264 9 2198 16
30886 2331 312 14 9 13225 31321 9 2200 16
30949 2334 313 14 9 13225 31340 9 2200 16
30950 2336 313 14 9 13225 31426 9 2203 16
31016 2337 313 14 9 13225 31433 9 2208 16
31018 2337 314 14 9 13225 31492 9 2215 16
31061 2344 315 14 9 13225 31552 9 2221 16
31107 2346 315 14 9 13225 31627 9 2224 16
31137 2350 316 14 9 13225 31661 9 2229 16
31178 2354 317 14 9 13225 31707 9 2231 16
31242 2357 317 14 9 13225 31723 9 2236 16
31280 2359 318 14 9 13225 31802 9 2238 16
31312 2361 318 14 9 13225 31862 9 2244 16
31372 2361 319 14 9 13225 31923 9 2249 16
31447 2363 320 14 9 13225 32015 9 2249 16
31525 2364 321 14 9 13225 32023 9 2249 16
31531 2364 321 14 9 13225 32023 9 2253 16
31544 2370 322 14 9 13225 32090 9 2260 16
31629 2370 323 14 9 13225 32153 9 2263 16
31715 2377 323 14 9 13225 32175 9 2263 16
31814 2381 323 14 9 13225 32263 9 2265 16
31829 2386 324 14 9 13225 32282 9 2266 16
31899 2386 325 14 9 13225 32349 9 2272 16
31972 2388 325 14 9 13225 32353 9 2278 16
32053 2388 326 14 9 13225 32402 9 2279 16
32139 2391 326 14 9 13225 32450 9 2282 16
32142 2397 327 14 9 13225 32511 9 2284 16
32206 2398 327 14 9 13225 32605 9 2289 16
32298 2405 328 14 9 13225 32621 9 2295 16
32376 2409 328 14 9 13225 32673 9 2302 16
32452 2416 329 14 9 13225 32698 9 2302 16
32461 2422 329 14 9 13225 32771 9 2306 16
32530 2424 330 14 9 13225 32864 9 2306 16
32567 2429 330 14 9 13225 32885 9 2312 16
32572 2430 331 14 9 13225 32942 9 2317 16
32670 2431 331 14 9 13225 32981 9 2324 16
32696 2432 332 14 9 13225 33049 9 2330 16
32724 2436 332 14 9 13225 33091 9 2334 16
32791 2437 333 14 9 13225 33097 9 2340 16
32860 2440 334 14 9 13225 33141 9 2344 16
32949 2446 334 14 9 13225 33194 9 2347 16
33047 2448 334 14 9 13225 33261 9 2351 16
33132 2448 335 14 9 13225 33310 9 2358 16
33228 2453 336 14 9 13225 33388 9 2360 16
33296 2456 336 14 9 13225 33474 9 2363 16
33341 2463 336 14 9 13225 33480 9 2370 16
33427 2467 337 14 9 13225 33527 9 2377 16
33428 2471 338 14 9 13225 33601 9 2379 16
33486 2474 338 14 9 13225 33686 9 2386 16
33541 2480 338 14 9 13225 33751 9 2390 16
33552 2482 339 14 9 13225 33765 9 2395 16
33651 2488 339 14 9 13225 33812 9 2401 16
33724 2492 340 14 9 13225 33828 9 2402 16
33727 2495 340 14 9 13225 33868 9 2403 16
33741 2499 341 14 9 13225 33879 9 2403 16
33798 2506 342 14 9 13225 33962 9 2405 16
33886 2509 342 14 9 13225 34049 9 2409 16
33967 2513 342 14 9 13225 34073 9 2415 16
34028 2517 342 14 9 13225 34157 9 2418 16
34057 2520 343 14 9 13225 34201 9 2422 16
34117 2522 344 14 9 13225 34281 9 2424 16
34145 2526 344 14 9 13225 34288 9 2424 16
34158 2528 345 14 9 13225 34342 9 2426 16
34201 2530 346 14 9 13225 34434 9 2432 16
34244 2532 346 14 9 13225 34454 9 2434 16
34293 2533 347 14 9 13225 34470 9 2437 16
34346 2538 348 14 9 13225 34494 9 2439 16
34368 2542 349 14 9 13225 34547 9 2446 16
34418 2542 349 14 9 13225 34559 9 2446 16
34461 2549 350 14 9 13225 34560 9 2452 16
34523 2555 351 14 9 13225 34572 9 2453 16
34549 2558 351 14 9 13225 34597 9 2459 16
34587 2560 352 14 9 13225 34629 9 2461 16
34644 2567 352 14 9 13225 34690 9 2464 16
34719 2568 352 14 9 13225 34737 9 2466 16
34768 2571 353 14 9 13225 34761 9 2472 16
34852 2572 354 14 9 13225 34771 9 2473 16
34911 2574 354 14 9 13225 34859 9 2476 16
34945 2581 355 14 9 13225 34914 9 2477 16
34992 2583 355 14 9 13225 34929 9 2481 16
34997 2584 355 14 9 13225 34984 9 2487 16
35023 2586 355 14 9 13225 35023 9 2487 16
35085 2587 356 14 9 13225 35081 9 2490 16
35112 2588 357 14 9 13225 35180 9 2494 16
35115 2595 358 14 9 13225 35214 9 2496 16
35174 2598 358 14 9 13225 35291 9 2496 16
35243 2604 359 14 9 13225 35363 9 2503 16
35342 2605 360 14 9 13225 35409 9 2505 16
35342 2608 360 14 9 13225 35429 9 2511 16
35374 2613 361 14 9 13225 35520 9 2512 16
35466 2615 362 14 9 13225 35544 9 2519 16
35543 2621 362 14 9 13225 35614 9 2524 16
35543 2625 363 14 9 13225 35691 9 2525 16
35549 2630 363 14 9 13225 35757 9 2527 16
35632 2635 364 14 9 13225 35810 9 2527 16
35724 2639 364 14 9 13225 35878 9 2527 16
35755 2644 365 14 9 13225 35916 9 2531 16
35769 2649 365 14 9 13225 35939 9 2537 16
35827 2655 366 14 9 13225 36016 9 2537 16
35911 2655 366 14 9 13225 36038 9 2537 16
35935 2662 367 14 9 13225 36050 9 2541 16
36001 2666 367 14 9 13225 36095 9 2547 16
36082 2672 368 14 9 13225 36111 9 2551 16
36096 2675 369 14 9 13225 36112 9 2551 16
36098 2681 369 14 9 13225 36131 9 2557 16
36172 2684 369 14 9 13225 36184 9 2562 16
36212 2685 370 14 9 13225 36266 9 2569 16
36241 2689 371 14 9 13225 36324 9 2573 16
36265 2690 372 14 9 13225 36414 9 2574 16
36287 2697 372 14 9 13225 36476 9 2580 16
36370 2697 373 14 9 13225 36514 9 2581 16
36445 2701 374 14 9 13225 36535 9 2581 16
36452 2702 374 14 9 13225 36600 9 2583 16
36531 2709 374 14 9 13225 36603 9 2590 16
36559 2714 375 14 9 13225 36647 9 2596 16
36575 2721 375 14 9 13225 36687 9 2598 16
36635 2722 376 14 9 13225 36769 9 2599 16
36733 2723 377 14 9 13225 36780 9 2604 16
36734 2723 377 14 9 13225 36803 9 2605 16
36768 2728 377 14 9 13225 36836 9 2608 16
36778 2732 378 14 9 13225 36892 9 2612 16
36852 2739 378 14 9 13225 36938 9 2617 16
36855 2740 379 14 9 13225 37008 9 2621 16
36932 2741 380 14 9 13225 37069 9 2627 16
36939 2745 380 14 9 13225 37109 9 2631 16
36944 2751 381 14 9 13225 37161 9 2636 16
36996 2751 382 14 9 13225 37253 9 2637 16
37073 2756 382 14 9 13225 37350 9 2641 16
37161 2763 383 14 9 13225 37437 9 2647 16
37204 2763 384 14 9 13225 37490 9 2649 16
37249 2763 384 14 9 13225 37560 9 2650 16
37289 2770 384 14 9 13225 37599 9 2654 16
37343 2777 385 14 9 13225 37614 9 2660 16
37435 2780 386 14 9 13225 37633 9 2667 16
37491 2785 386 14 9 13225 37716 9 2670 16
37523 2786 387 14 9 13225 37730 9 2676 16
37574 2792 387 14 9 13225 37759 9 2678 16
37666 2794 387 14 9 13225 37806 9 2679 16
37692 2794 388 14 9 13225 37850 9 2684 16
37760 2794 388 14 9 13225 37907 9 2691 16
37798 2794 389 14 9 13225 38003 9 2698 16
37805 2797 390 14 9 13225 38036 9 2704 16
37902 2797 390 14 9 13225 38050 9 2711 16
37972 2801 391 14 9 13225 38098 9 2714 16
37981 2801 391 14 9 13225 38186 9 2717 16
38053 2806 391 14 9 13225 38231 9 2717 16
38140 2811 392 14 9 13225 38241 9 2724 16
38231 2817 392 14 9 13225 38320 9 2731 16
38248 2821 393 14 9 13225 38326 9 2736 16
38334 2827 393 14 9 13225 38362 9 2742 16
38336 2828 393 14 9 13225 38460 9 2746 16
38385 2829 394 14 9 13225 38517 9 2753 16
38429 2833 395 14 9 13225 38559 9 2759 16
38514 2833 395 14 9 13225 38646 9 2764 16
38573 2840 396 14 9 13225 38652 9 2764 16
38640 2846 397 14 9 13225 38696 9 2765 16
38679 2847 397 14 9 13225 38719 9 2769 16
38764 2852 398 14 9 13225 38765 9 2774 16
38849 2857 399 14 9 13225 38788 9 2775 16
38922 2861 400 14 9 13225 38884 9 2779 16
38969 2864 400 14 9 13225 38943 9 2780 16
39001 2867 400 14 9 13225 38945 9 2785 16
39080 2870 401 14 9 13225 39004 9 2791 16
39095 2876 401 14 9 13225 39025 9 2791 16
39095 2876 402 14 9 13225 39049 9 2794 16
39119 2876 402 14 9 13225 39137 9 2799 16
39194 2877 403 14 9 13225 39155 9 2804 16
39270 2884 403 14 9 13225 39242 9 2806 16
39368 2890 403 14 9 13225 39302 9 2809 16
39408 2892 404 14 9 13225 39372 9 2814 16
39491 2895 404 14 9 13225 39436 9 2816 16
39497 2896 404 14 9 13225 39439 9 2817 16
39548 2899 405 14 9 13225 39440 9 2818 16
39646 2900 405 14 9 13225 39512 9 2821 16
39728 2906 406 14 9 13225 39567 9 2825 16
39750 2912 407 14 9 13225 39655 9 2827 16
39816 2916 407 14 9 13225 39708 9 2832 16
39833 2920 407 14 9 13225 39730 9 2834 16
39875 2923 408 14 9 13225 39800 9 2840 16
39884 2924 409 14 9 13225 39807 9 2841 16
39928 2926 409 14 9 13225 39870 9 2841 16
39953 2929 410 14 9 13225 39934 9 2841 16
40048 2930 410 14 9 13225 39946 9 2847 16
40120 2936 411 14 9 13225 39984 9 2848 16
40191 2942 412 14 9 13225 40020 9 2854 16
40215 2942 412 14 9 13225 40076 9 2857 16
40295 2943 413 14 9 13225 40162 9 2864 16
40308 2944 413 14 9 13225 40183 9 2867 16
40351 2951 414 14 9 13225 40216 9 2869 16
40440 2954 414 14 9 13225 40276 9 2870 16
40521 2960 415 14 9 13225 40324 9 2873 16
40564 2964 416 14 9 13225 40345 9 2873 16
40594 2967 416 14 9 13225 40369 9 2874 16
40596 2971 417 14 9 13225 40448 9 2881 16
40675 2975 418 14 9 13225 40532 9 2887 16
40733 2978 418 14 9 13225 40556 9 2892 16
40791 2984 419 14 9 13225 40565 9 2895 16
40815 2987 420 14 9 13225 40637 9 2895 16
40888 2993 420 14 9 13225 40670 9 2896 16
40888 2997 420 14 9 13225 40719 9 2896 16
40930 3002 421 14 9 13225 40766 9 2898 16
40987 3002 422 14 9 13225 40798 9 2898 16
41067 3002 422 14 9 13225 40818 9 2904 16
41144 3003 423 14 9 13225 40840 9 2906 16
41185 3004 423 14 9 13225 40935 9 2912 16
41208 3008 424 14 9 13225 41034 9 2912 16
41235 3015 425 14 9 13225 41081 9 2915 16
41280 3021 426 14 9 13225 41094 9 2917 16
41346 3023 426 14 9 13225 41102 9 2920 16
41366 3028 426 14 9 13225 41105 9 2922 16
41416 3028 427 14 9 13225 41173 9 2926 16
41469 3034 428 14 9 13225 41183 9 2930 16
41504 3040 428 14 9 13225 41195 9 2937 16
41519 3045 429 14 9 13225 41259 9 2941 16
41614 3046 429 14 9 13225 41306 9 2942 16
41711 3051 429 14 9 13225 41332 9 2945 16
41711 3058 429 14 9 13225 41428 9 2949 16
41771 3063 430 14 9 13225 41493 9 2951 16
41856 3065 430 14 9 13225 41557 9 2951 16
41882 3069 431 14 9 13225 41638 9 2951 16
41929 3071 431 14 9 13225 41668 9 2954 16
41956 3075 432 14 9 13225 41727 9 2959 16
42017 3080 433 14 9 13225 41803 9 2960 16
42058 3081 434 14 9 13225 41817 9 2966 16
42069 3081 434 14 9 13225 41903 9 2971 16
42103 3081 435 14 9 13225 41996 9 2977 16
42110 3081 436 14 9 13225 42022 9 2981 16
42153 3082 437 14 9 13225 42079 9 2982 16
42198 3084 437 14 9 13225 42152 9 2988 16
42206 3087 438 14 9 13225 42189 9 2995 16
42274 3093 439 14 9 13225 42191 9 2999 16
42330 3097 439 14 9 13225 42264 9 3006 16
42371 3101 440 14 9 13225 42269 9 3011 16
42428 3106 440 14 9 13225 42354 9 3013 16
42508 3107 440 14 9 13225 42402 9 3014 16
42582 3112 440 14 9 13225 42436 9 3017 16
42642 3114 441 14 9 13225 42466 9 3022 16
42731 3117 441 14 9 13225 42502 9 3024 16
42747 3118 442 14 9 13225 42548 9 3025 16
42763 3124 442 14 9 13225 42557 9 3031 16
42830 3130 443 14 9 13225 42608 9 3032 16
42927 3135 443 14 9 13225 42679 9 3039 16
43008 3140 443 14 9 13225 42698 9 3041 16
43069 3144 444 14 9 13225 42718 9 3044 16
43146 3146 445 14 9 13225 42739 9 3051 16
43242 3151 445 14 9 13225 42754 9 3051 16
43326 3158 445 14 9 13225 42802 9 3053 16
43358 3163 446 14 9 13225 42833 9 3060 16
43447 3169 446 14 9 13225 42893 9 3060 16
43458 3170 446 14 9 13225 42977 9 3064 16
43459 3171 447 14 9 13225 43039 9 3065 16
43475 3174 447 14 9 13225 43135 9 3069 16
43478 3181 448 14 9 13225 43137 9 3076 16
43497 3183 448 14 9 13225 43144 9 3076 16
43580 3183 449 14 9 13225 43214 9 3082 16
43596 3183 450 14 9 13225 43237 9 3088 16
43665 3185 450 14 9 13225 43246 9 3088 16
43700 3189 451 14 9 13225 43284 9 3091 16
43721 3189 451 14 9 13225 43304 9 3092 16
43745 3189 452 14 9 13225 43369 9 3097 16
43764 3190 452 14 9 13225 43430 9 3101 16
43795 3192 452 14 9 13225 43472 9 3104 16
43843 3197 453 14 9 13225 43553 9 3105 16
43883 3203 453 14 9 13225 43560 9 3111 16
43896 3204 453 14 9 13225 43574 9 3118 16
43897 3205 454 14 9 13225 43603 9 3121 16
43987 3205 455 14 9 13225 43609 9 3124 16
44008 3207 456 14 9 13225 43617 9 3124 16
44019 3214 456 14 9 13225 43643 9 3127 16
44020 3221 457 14 9 13225 43710 9 3134 16
44046 3225 457 14 9 13225 43729 9 3140 16
44056 3230 458 14 9 13225 43798 9 3146 16
44105 3232 458 14 9 13225 43868 9 3153 16
44113 3236 458 14 9 13225 43922 9 3153 16
44168 3241 459 14 9 13225 44005 9 3153 16
44222 3246 459 14 9 13225 44059 9 3154 16
44247 3249 459 14 9 13225 44100 9 3157 16
44318 3252 459 14 9 13225 44167 9 3157 16
44336 3256 460 14 9 13225 44236 9 3161 16
44429 3263 460 14 9 13225 44248 9 3167 16
44523 3267 461 14 9 13225 44343 9 3173 16
44621 3268 462 14 9 13225 44362 9 3179 16
44701 3268 462 14 9 13225 44362 9 3185 16
44781 3274 463 14 9 13225 44461 9 3187 22
44857 3275 464 14 9 13225 44476 9 3192 22
44902 3277 464 14 9 13225 44528 9 3193 22
44902 3277 465 14 9 13225 44609 9 3198 22
44998 3280 465 14 9 13225 44643 9 3204 22
45094 3284 466 14 9 13225 44665 9 3204 22
45181 3285 466 14 9 13225 44737 9 3206 22
45276 3285 467 14 9 13225 44803 9 3210 22
45325 3292 467 14 9 13225 44892 9 3210 22
45325 3297 468 14 9 13225 44942 9 3210 22
45352 3299 469 14 9 13225 44980 9 3213 22
45360 3301 469 14 9 13225 44990 9 3216 22
45411 3307 470 14 9 13225 45077 9 3218 22
45484 3314 470 14 9 13225 45125 9 3220 22
45532 3320 471 14 9 13225 45152 9 3223 22
45592 3322 471 14 9 13225 45219 9 3230 22
45656 3322 471 14 9 13225 45316 9 3231 22
45735 3322 472 14 9 13225 45369 9 3235 22
45803 3322 473 14 9 13225 45372 9 3238 22
45895 3329 473 14 9 13225 45392 9 3240 22
45953 3332 474 14 9 13225 45399 9 3241 22
45958 3335 474 14 9 13225 45431 9 3248 22
45959 3338 474 14 9 13225 45492 9 3252 22
45986 3345 475 14 9 13225 45517 9 3253 22
46012 3351 476 14 9 13225 45531 9 3253 22
46104 3357 477 14 9 13225 45562 9 3254 22
46117 3361 478 14 9 13225 45616 9 3259 22
46167 3365 478 14 9 13225 45688 9 3260 22
46258 3369 479 14 9 13225 45745 9 3265 22
46332 3373 479 14 9 13225 45755 9 3265 22
46354 3377 480 14 9 13225 45854 9 3265 22
46422 3384 481 14 9 13225 45881 9 3266 22
46486 3389 481 14 9 13225 45887 9 3266 22
46584 3390 482 14 9 13225 45902 9 3272 22
46635 3390 483 14 9 13225 45977 9 3278 22
46657 3395 483 14 9 13225 45994 9 3279 22
46750 3402 484 14 9 13225 46011 9 3281 22
46780 3406 485 14 9 13225 46063 9 3285 22
46835 3413 485 14 9 13225 46123 9 3291 22
46848 3420 486 14 9 13225 46135 9 3298 22
46926 3423 487 14 9 13225 46206 9 3305 22
46947 3425 487 14 9 13225 46229 9 3308 22
47033 3425 487 14 9 13225 46233 9 3314 22
47056 3430 488 14 9 13225 46293 9 3315 22
47154 3430 489 14 9 13225 46316 9 3317 22
47222 3434 489 14 9 13225 46326 9 3324 22
47278 3434 490 14 9 13225 46392 9 3326 22
47365 3436 491 14 9 13225 46419 9 3333 22
47420 3436 491 14 9 13225 46434 9 3339 22
47505 3443 492 14 9 13225 46520 9 3342 22
47597 3448 492 14 9 13225 46610 9 3347 22
47673 3453 492 14 9 13225 46690 9 3354 22
47764 3456 493 14 9 13225 46755 9 3359 22
47792 3463 493 14 9 13225 46756 9 3360 22
47874 3469 493 14 9 13225 46798 9 3367 22
47922 3470 494 14 9 13225 46884 9 3367 22
47979 3475 495 14 9 13225 46935 9 3367 22
48020 3477 495 14 9 13225 46980 9 3369 22
48029 3478 496 14 9 13225 46999 9 3374 22
48085 3482 496 14 9 13225 47048 9 3379 22
48180 3483 496 14 9 13225 47146 9 3386 22
48188 3490 496 14 9 13225 47219 9 3393 22
48215 3491 497 14 9 13225 47308 9 3400 22
48226 3496 498 14 9 13225 47403 9 3405 22
48266 3496 499 14 9 13225 47404 9 3407 22
48303 3503 499 14 9 13225 47451 9 3407 22
48359 3506 500 14 9 13225 47464 9 3412 22
48421 3508 500 14 9 13225 47471 9 3414 22
48463 3508 501 14 9 13225 47509 9 3417 22
48562 3510 502 14 9 13225 47556 9 3422 22
48573 3511 502 14 9 13225 47621 9 3426 24
48580 3516 503 14 9 13225 47638 9 3430 26
48622 3520 504 14 9 13225 47705 9 3434 26
48664 3520 504 14 9 13225 47766 9 3438 26
48679 3521 504 14 9 13225 47799 9 3445 26
